No,Namespace,Variable,Description,Render Section,Category,Value
1,ABS_24,PERCTOT,Percentage of overall absence,A6-Absence,KS1 + KS2 Ages 3 to 11 Mixed sex,5.1
2,ABS_24,PPERSABS10,Percentage of enrolments who are persistent absentees,A6-Absence,KS1 + KS2 Ages 3 to 11 Mixed sex,10.5
3,CENSUS_25,SCHOOLTYPE,Type of school,,KS1 + KS2 Ages 3 to 11 Mixed sex,State-funded primary
4,CENSUS_25,NOR,Total number of pupils on roll,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,478
5,CENSUS_25,NORG,Number of girls on roll,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,238
6,CENSUS_25,NORB,Number of boys on roll,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,240
7,CENSUS_25,PNORG,Percentage of girls on roll,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,49.79%
8,CENSUS_25,PNORB,Percentage of boys on roll,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,50.21%
9,CENSUS_25,TSENELSE,Number of eligible pupils with an EHC plan,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,36
10,CENSUS_25,PSENELSE,Percentage of eligible pupils with an EHC plan,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,7.53%
11,CENSUS_25,TSENELK,Number of eligible pupils with SEN support,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,71
12,CENSUS_25,PSENELK,Percentage of eligible pupils with SEN support,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,14.85%
13,CENSUS_25,NUMEAL,No.  pupils where English not first language,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,302
14,CENSUS_25,NUMENGFL,No. pupils with English first language,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,176
15,CENSUS_25,NUMUNCFL,No. pupils where first language is unclassified,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,0
16,CENSUS_25,PNUMEAL,%  pupils where English not first language,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,63.20%
17,CENSUS_25,PNUMENGFL,% pupils with English first language,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,36.80%
18,CENSUS_25,PNUMUNCLF,,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,0
19,CENSUS_25,NUMFSM,No. pupils eligible for free school meals,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,109
20,CENSUS_25,NUMFSMEVER,Number of pupils eligible for FSM at any time during the past 6 years,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,109
21,CENSUS_25,NORFSMEVER,Total pupils for FSMEver,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,431
22,CENSUS_25,PNUMFSMEVER,Percentage of pupils eligible for FSM at any time during the past 6 years,A4-Census,KS1 + KS2 Ages 3 to 11 Mixed sex,25.29%
23,KS2_25,PCODE,School postcode,A5-KS2,KS1 + KS2 Ages 3 to 11 Mixed sex,SE16 5LQ
24,KS2_25,NFTYPE,School type,A5-KS2,KS1 + KS2 Ages 3 to 11 Mixed sex,ACC
25,KS2_25,RELDENOM,Religious denomination,A5-KS2,KS1 + KS2 Ages 3 to 11 Mixed sex,Does not apply
26,KS2_25,AGERANGE,Age range,A5-KS2,KS1 + KS2 Ages 3 to 11 Mixed sex,3 to 11
27,KS2_25,TOTPUPS,Total number of pupils (including part-time pupils),A5-KS2,KS1 + KS2 Ages 3 to 11 Mixed sex,478
28,KS2_25,TPUPYEAR,Number of pupils aged 11,A5-KS2,KS1 + KS2 Ages 3 to 11 Mixed sex,76
29,KS2_25,TELIG,Published eligible pupil number,A5-KS2-T1-Cohort,KS1 + KS2 Ages 3 to 11 Mixed sex,74
30,KS2_25,BELIG,Eligible boys on school roll at time of tests,A5-KS2-T1-Cohort,KS1 + KS2 Ages 3 to 11 Mixed sex,47
31,KS2_25,GELIG,Eligible girls on school roll at time of tests,A5-KS2-T1-Cohort,KS1 + KS2 Ages 3 to 11 Mixed sex,27
32,KS2_25,PBELIG,Percentage of eligible boys on school roll at time of tests,A5-KS2-T1-Cohort,KS1 + KS2 Ages 3 to 11 Mixed sex,64%
33,KS2_25,PGELIG,Percentage of eligible girls on school roll at time of tests,A5-KS2-T1-Cohort,KS1 + KS2 Ages 3 to 11 Mixed sex,36%
34,KS2_25,TFSM6CLA1A,Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA for a day or more or who have been adopted from care),A5-KS2-T1-Cohort,KS1 + KS2 Ages 3 to 11 Mixed sex,20
35,KS2_25,PTFSM6CLA1A,Percentage of key stage 2 disadvantaged pupils,A5-KS2-T1-Cohort,KS1 + KS2 Ages 3 to 11 Mixed sex,27%
36,KS2_25,TNOTFSM6CLA1A,Number of key stage 2 pupils who are not disadvantaged,A5-KS2-T1-Cohort,KS1 + KS2 Ages 3 to 11 Mixed sex,54
37,KS2_25,PTNOTFSM6CLA1A,Percentage of key stage 2 pupils who are not disadvantaged,A5-KS2-T1-Cohort,KS1 + KS2 Ages 3 to 11 Mixed sex,73%
38,KS2_25,TEALGRP2,Number of eligible pupils with English as additional language (EAL),A5-KS2-T1-Cohort,KS1 + KS2 Ages 3 to 11 Mixed sex,47
39,KS2_25,PTEALGRP2,Percentage of eligible pupils with English as additional language (EAL),A5-KS2-T1-Cohort,KS1 + KS2 Ages 3 to 11 Mixed sex,64%
40,KS2_25,TMOBN,Number of eligible pupils classified as non-mobile,A5-KS2-T1-Cohort,KS1 + KS2 Ages 3 to 11 Mixed sex,73
