COUNTA of No,,Category,,,,,,,,,
Namespace,Variable,Category,KS1 + KS2 Ages 3 to 11 Mixed sex,KS1 only Ages 3 to 7 Mixed sex,KS2 Ages 7 to 11 Mixed sex,KS4 + KS5  Ages 11 to 18 Mixed sex,KS4 Ages 11 to 16 Mixed sex,Private Ages 10 to 19 Mixed sex ,Private Ages 2 to 11 Mixed sex,Private Ages 4 to 18 Mixed sex,Grand Total
ABS_24,EDITION,,1,1,1,1,1,,,,5
,ESTAB,,1,1,1,1,1,,,,5
,LA,,1,1,1,1,1,,,,5
,PERCTOT,,1,1,1,1,1,,,,5
,PPERSABS10,,1,1,1,1,1,,,,5
,URN,,1,1,1,1,1,,,,5
ABS_24 Total,,,6,6,6,6,6,,,,30
CENSUS_25,EDITION,,1,1,1,1,1,1,1,1,8
,ESTAB,,1,1,1,1,1,1,1,1,8
,LA,,1,1,1,1,1,1,1,1,8
,NOR,,1,1,1,1,1,1,1,1,8
,NORB,,1,1,1,1,1,1,1,1,8
,NORFSMEVER,,1,1,1,1,1,,,,5
,NORG,,1,1,1,1,1,1,1,1,8
,NUMEAL,,1,1,1,1,1,1,1,1,8
,NUMENGFL,,1,1,1,1,1,1,1,1,8
,NUMFSM,,1,1,1,1,1,1,1,1,8
,NUMFSMEVER,,1,1,1,1,1,,,,5
,NUMUNCFL,,1,1,1,1,1,1,1,1,8
,PNORB,,1,1,1,1,1,1,1,1,8
,PNORG,,1,1,1,1,1,1,1,1,8
,PNUMEAL,,1,1,1,1,1,1,1,1,8
,PNUMENGFL,,1,1,1,1,1,1,1,1,8
,PNUMFSMEVER,,1,1,1,1,1,1,1,1,8
,PNUMUNCLF,,1,1,1,1,1,1,1,1,8
,PSENELK,,1,1,1,1,1,1,1,1,8
,PSENELSE,,1,1,1,1,1,1,1,1,8
,SCHOOLTYPE,,1,1,1,1,1,1,1,1,8
,TSENELK,,1,1,1,1,1,1,1,1,8
,TSENELSE,,1,1,1,1,1,1,1,1,8
,URN,,1,1,1,1,1,1,1,1,8
CENSUS_25 Total,,,24,24,24,24,24,22,22,22,186
KS2_25,ADDRESS1,,1,,1,,,,,,2
,ADDRESS2,,1,,1,,,,,,2
,ADDRESS3,,1,,1,,,,,,2
,AGERANGE,,1,,1,,,,,,2
,ALPHAIND,,1,,1,,,,,,2
,BELIG,,1,,1,,,,,,2
,DIFFN_MATPROG,,1,,1,,,,,,2
,DIFFN_READPROG,,1,,1,,,,,,2
,DIFFN_RWM_EXP,,1,,1,,,,,,2
,DIFFN_RWM_HIGH,,1,,1,,,,,,2
,DIFFN_WRITPROG,,1,,1,,,,,,2
,EDITION,,1,,1,,,,,,2
,ESTAB,,1,,1,,,,,,2
,GELIG,,1,,1,,,,,,2
,GPS_AVERAGE,,1,,1,,,,,,2
,GPS_AVERAGE_B,,1,,1,,,,,,2
,GPS_AVERAGE_EAL,,1,,1,,,,,,2
,GPS_AVERAGE_FSM6CLA1A,,1,,1,,,,,,2
,GPS_AVERAGE_G,,1,,1,,,,,,2
,GPS_AVERAGE_H,,1,,1,,,,,,2
,GPS_AVERAGE_L,,1,,1,,,,,,2
,GPS_AVERAGE_M,,1,,1,,,,,,2
,GPS_AVERAGE_MOBN,,1,,1,,,,,,2
,GPS_AVERAGE_NOTFSM6CLA1A,,1,,1,,,,,,2
,ICLOSE,,1,,1,,,,,,2
,LEA,,1,,1,,,,,,2
,MAT_AVERAGE,,1,,1,,,,,,2
,MAT_AVERAGE_23,,1,,1,,,,,,2
,MAT_AVERAGE_24,,1,,1,,,,,,2
,MAT_AVERAGE_3YR,,1,,1,,,,,,2
,MAT_AVERAGE_B,,1,,1,,,,,,2
,MAT_AVERAGE_EAL,,1,,1,,,,,,2
,MAT_AVERAGE_FSM6CLA1A,,1,,1,,,,,,2
,MAT_AVERAGE_G,,1,,1,,,,,,2
,MAT_AVERAGE_H,,1,,1,,,,,,2
,MAT_AVERAGE_L,,1,,1,,,,,,2
,MAT_AVERAGE_M,,1,,1,,,,,,2
,MAT_AVERAGE_MOBN,,1,,1,,,,,,2
,MAT_AVERAGE_NOTFSM6CLA1A,,1,,1,,,,,,2
,MATCOV,,1,,1,,,,,,2
,MATPROG,,1,,1,,,,,,2
,MATPROG_23,,1,,1,,,,,,2
,MATPROG_24,,1,,1,,,,,,2
,MATPROG_B,,1,,1,,,,,,2
,MATPROG_B_LOWER,,1,,1,,,,,,2
,MATPROG_B_UPPER,,1,,1,,,,,,2
,MATPROG_DESCR,,1,,1,,,,,,2
,MATPROG_DESCR_23,,1,,1,,,,,,2
,MATPROG_EAL,,1,,1,,,,,,2
,MATPROG_EAL_LOWER,,1,,1,,,,,,2
,MATPROG_EAL_UPPER,,1,,1,,,,,,2
,MATPROG_FSM6CLA1A,,1,,1,,,,,,2
,MATPROG_FSM6CLA1A_LOWER,,1,,1,,,,,,2
,MATPROG_FSM6CLA1A_UPPER,,1,,1,,,,,,2
,MATPROG_G,,1,,1,,,,,,2
,MATPROG_G_LOWER,,1,,1,,,,,,2
,MATPROG_G_UPPER,,1,,1,,,,,,2
,MATPROG_H,,1,,1,,,,,,2
,MATPROG_H_LOWER,,1,,1,,,,,,2
,MATPROG_H_UPPER,,1,,1,,,,,,2
,MATPROG_L,,1,,1,,,,,,2
,MATPROG_L_LOWER,,1,,1,,,,,,2
,MATPROG_L_UPPER,,1,,1,,,,,,2
,MATPROG_LOWER,,1,,1,,,,,,2
,MATPROG_LOWER_23,,1,,1,,,,,,2
,MATPROG_LOWER_24,,1,,1,,,,,,2
,MATPROG_M,,1,,1,,,,,,2
,MATPROG_M_LOWER,,1,,1,,,,,,2
,MATPROG_M_UPPER,,1,,1,,,,,,2
,MATPROG_MOBN,,1,,1,,,,,,2
,MATPROG_MOBN_LOWER,,1,,1,,,,,,2
,MATPROG_MOBN_UPPER,,1,,1,,,,,,2
,MATPROG_NOTFSM6CLA1A,,1,,1,,,,,,2
,MATPROG_NOTFSM6CLA1A_LOWER,,1,,1,,,,,,2
,MATPROG_NOTFSM6CLA1A_UPPER,,1,,1,,,,,,2
,MATPROG_UNADJUSTED,,1,,1,,,,,,2
,MATPROG_UPPER,,1,,1,,,,,,2
,MATPROG_UPPER_23,,1,,1,,,,,,2
,MATPROG_UPPER_24,,1,,1,,,,,,2
,NFTYPE,,1,,1,,,,,,2
,OPEN_AC,,1,,1,,,,,,2
,PBELIG,,1,,1,,,,,,2
,PCODE,,1,,1,,,,,,2
,PCON_CODE,,1,,1,,,,,,2
,PCON_NAME,,1,,1,,,,,,2
,PGELIG,,1,,1,,,,,,2
,PSENELE,,1,,1,,,,,,2
,PSENELEK,,1,,1,,,,,,2
,PSENELK,,1,,1,,,,,,2
,PTEALGRP1,,1,,1,,,,,,2
,PTEALGRP2,,1,,1,,,,,,2
,PTEALGRP3,,1,,1,,,,,,2
,PTFSM6CLA1A,,1,,1,,,,,,2
,PTFSM6CLA1A_23,,1,,1,,,,,,2
,PTFSM6CLA1A_24,,1,,1,,,,,,2
,PTGPS_AT,,1,,1,,,,,,2
,PTGPS_EXP,,1,,1,,,,,,2
,PTGPS_EXP_FSM6CLA1A,,1,,1,,,,,,2
,PTGPS_EXP_H,,1,,1,,,,,,2
,PTGPS_EXP_L,,1,,1,,,,,,2
,PTGPS_EXP_M,,1,,1,,,,,,2
,PTGPS_EXP_NOTFSM6CLA1A,,1,,1,,,,,,2
,PTGPS_HIGH,,1,,1,,,,,,2
,PTGPS_HIGH_FSM6CLA1A,,1,,1,,,,,,2
,PTGPS_HIGH_H,,1,,1,,,,,,2
,PTGPS_HIGH_L,,1,,1,,,,,,2
,PTGPS_HIGH_M,,1,,1,,,,,,2
,PTGPS_HIGH_NOTFSM6CLA1A,,1,,1,,,,,,2
,PTKS1GROUP_H,,1,,1,,,,,,2
,PTKS1GROUP_L,,1,,1,,,,,,2
,PTKS1GROUP_M,,1,,1,,,,,,2
,PTKS1GROUP_NA,,1,,1,,,,,,2
,PTMAT_AT,,1,,1,,,,,,2
,PTMAT_EXP,,1,,1,,,,,,2
,PTMAT_EXP_FSM6CLA1A,,1,,1,,,,,,2
,PTMAT_EXP_H,,1,,1,,,,,,2
,PTMAT_EXP_L,,1,,1,,,,,,2
,PTMAT_EXP_M,,1,,1,,,,,,2
,PTMAT_EXP_NOTFSM6CLA1A,,1,,1,,,,,,2
,PTMAT_HIGH,,1,,1,,,,,,2
,PTMAT_HIGH_FSM6CLA1A,,1,,1,,,,,,2
,PTMAT_HIGH_H,,1,,1,,,,,,2
,PTMAT_HIGH_L,,1,,1,,,,,,2
,PTMAT_HIGH_M,,1,,1,,,,,,2
,PTMAT_HIGH_NOTFSM6CLA1A,,1,,1,,,,,,2
,PTMOBN,,1,,1,,,,,,2
,PTNOTFSM6CLA1A,,1,,1,,,,,,2
